a2b.night_bonus;當你的部隊抵達時，對方將有晚間防守加成！其加成為 {{BONUS}}%。
a2b.mergeTroops_button_limit_exceeded;已超出每日爲軍隊合併花費的金幣限額。限額重置時間：{{TIME}}
a2b.regionNeighborhoodNotUnlocked;臨近地區尚未解鎖。
a2b.redeployHeroTargetVillageNotOwn;目標村莊不屬於你！<br>選擇一個你自己的村莊作為英雄新的駐扎村。
a2b.redeployHeroTargetVillageHasNoRallyPoint;目標村莊沒有集結點！<br>請先建造一個，才能將該村莊作為英雄新的駐扎村。
a2b.mergeTroops_restriction;你不可以將英雄，開拓者，首領，衝撞車或者投石機合併到村莊中。
a2b.locked_gameEnd;遊戲世界已經結束，不可以再進行任何操作。
a2b.sendEdit;修改
a2b.mergeTroops_restriction_tribe;這些單位作為村莊不是來自同一個部落。
a2b.cannot_send_reinforcements_to_strangers;你只能向你的聯盟成員派遣增援。
a2b.redeployHeroNotAVillage;您無法將您英雄的村莊更改到此目的地
a2b.in_time;剩餘時間{{TIME}}小時
a2b.addAWave;添加一個波
a2b.addAsWave;作為波添加
a2b.editWave;編輯攻擊波
a2b.deleteWave;刪除攻擊波
a2b.copyWave;複製攻擊波
a2b.orASecondLater;或一秒後
a2b.movementLimitReached;達到上限
a2b.movementLimitReachedDescription;可設置的最大軍隊移動數量：{{INT}}
a2b.waveBuilder;攻擊波建造器
a2b.notEnoughTroopsToCopy;缺少軍隊，無法複製攻擊波
a2b.destinationIsNotExist;在此地點一無所獲
a2b.cannot_be_merged;軍隊無法合併
a2b.merge_troops_not_enough_gold;金幣不足
a2b.merge_troops_not_enough_resources;資源不足
a2b.merge_troops_not_found;找不到軍隊
a2b.mergeTroops_limit_will_be_exceeded;合併該數量的軍隊將超出每日爲軍隊合併花費的金幣限額。每日爲軍隊合併花費的金幣限額還剩：{{GOLD}}
a2b.ramCatapultChiefAllowedDuringBattleDays;用司令官或攻城裝備攻擊只允許在戰鬥日期間進行。
a2b.pvpNotAllowedDuringNightTruce;在夜間休戰期間，不允許攻擊其他玩家。
a2b.reportNightTruce;夜間休戰期間的無效目標。沒有發生戰鬥。
a2b.reportProtectionDays;不允許有司令官或攻城單位。沒有發生戰鬥。
a2b.availableShips;可使用的船隻：
a2b.availableDecoyWarships;可使用的誘敵戰艦
a2b.availableWarships;可使用的戰艦
a2b.useShips;使用船隻
a2b.useShipsNoHarbourTooltip;你必須先建造港口。
a2b.useShipsNoShipsTooltip;船隻不足。<br>條件：{{SHIP_TYPE}}
a2b.useShipsTooltip;你的部隊將使用{{SHIP_TYPE}}行進{{DISTANCE}}格，並節省{{TIME}}小時的旅行時間
a2b.useShipsInfo;你的部隊將使用{{SHIP_TYPE}}行進{{DISTANCE}}格，並節省{{TIME}}小時的旅行時間
a2b.usedShipTypeDecoyWarship;誘敵戰艦
a2b.usedShipTypeWarship;戰艦
a2b.settlersChangeTribe;第一次定居時，可以選擇要定居在哪個種族的村莊。此功能只適用一次，因此請謹慎選擇。
a2b.distance;距離
a2b.cannot_send_reinforcements_to_strangers_no_confederacy;你只能向你的聯盟成員派遣增援。
a2b.settlersSelectTribe;請選擇種族
a2b.settlersSelectTribeFirst;先選擇種族
a2b.useShipsTargetNoShore;船隻只能以岸上的村莊為目標
a2b.useShipsNoPathfindingTooltip;你的部隊將使用{{SHIP_TYPE}}行進，並節省{{TIME}}小時的旅行時間
a2b.useShipsNoPathfindingInfo;你的部隊將使用{{SHIP_TYPE}}行進，並節省{{TIME}}小時的旅行時間
a2b.troopsAreNotInSameAlliance;軍隊不在同一個聯盟
a2b.destinationVillageNotInSameAlliance;目的地村莊不在同一個聯盟
a2b.noAttackWW;現在還無法攻擊世界奇蹟村莊。最早能派出軍隊的時間： {{DATETIME}}
a2b.noAttackWhileOwnBeginnersProtectionActive;你不能攻擊其他玩家，因為你尚處於新手保護期。
a2b.noRaidWhileOwnBeginnersProtectionActive;你不能掠奪其他玩家，因為你尚處於新手保護期。
a2b.noSupportWhileOwnBeginnersProtectionActive;你不能增援其他玩家，因為你尚處於新手保護期。
a2b.noAttackWhileEnemyBeginnersProtectionActive;當其他玩家處於新手保護期，你就不能攻擊他。
a2b.noRaidWhileEnemyBeginnersProtectionActive;當其他玩家處於新手保護期，你就不能掠奪他。
a2b.noSupportWhileEnemyBeginnersProtectionActive;當其他玩家處於新手保護期，你就不能增援他。
a2b.no_support_attack_raid_while_own_beginners_protection_active;你不能增援/攻擊/掠奪其他玩家，因為你還處於新手保護期。
a2b.availableRaidShips;可使用的搶奪船隻
a2b.usedShipTypeRaidShip;搶奪船隻
a2b.settlersChangeTribeThreeTimes;前三次定居時，可以選擇要定居的村莊的種族。只能進行三次，所以請謹慎選擇。
a2b.cannot_send_reinforcements_to_strangers_union;你只能向你的聯盟/聯邦成員派遣增援。
achievementQuests.achQuest_01_name;完成一個冒險
achievementQuests.achQuest_01_step_01_description;派遣你的英雄去進行一次冒險。當英雄抵達冒險地點，該任務就會完成，不論英雄是否可以通過這次冒險。<br>要派遣英雄出發去冒險，請點擊圖片中顯示的圖標。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_02_name;掠奪一個未被佔領的綠洲
achievementQuests.achQuest_02_step_01_description;派遣軍隊去掠奪一個未被佔領的綠洲。你的軍隊抵達后，該任務就會完成，不論最後的戰果如何。如果使用籠子來避免戰鬥，你將從這個任務中不會任何點數。<br>你可以使用集結點中的戰鬥模擬器來計算戰鬥結果。你可以在你的集結點找到它。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_03_name;掠奪/攻擊一個賴達族的村莊
achievementQuests.achQuest_03_step_01_description;派遣軍隊去掠奪/攻擊一個賴達族的村莊。你的軍隊抵達后，該任務就會完成，不論最後的戰果如何。<br>在你組織到100.000的部隊之前，你不應當嘗試掠奪/攻擊一個賴達族控制的奇跡村。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_03_step_01_todolist;掠奪/攻擊一個賴達族的村莊
achievementQuests.achQuest_04_name;贏得一個拍賣
achievementQuests.achQuest_04_step_01_description;參與一個拍賣并對競拍的物品贏得兩次出價，在你的生日的那天還會在獲得獎勵點數的時候獲得額外的點數！<br>當你贏得拍賣的時候，你就會獲得點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_04_step_01_todolist;贏得一個拍賣
achievementQuests.achQuest_05_name;贏得或者消費金幣
achievementQuests.achQuest_05_step_01_description;你需要贏得或者消費金幣來獲得這個任務的點數。它取決于你決贏得或消費金幣的數量。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_06_name;升級一個建築
achievementQuests.achQuest_06_step_01_description;要獲得這個任務的獎勵點數，你需要升級一個建築或者建造一個新的建築。<br>當建築完成的時候，你就會獲得獎勵點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_07_name;升級一個資源田
achievementQuests.achQuest_07_step_01_description;要獲得這個任務的獎勵點數，你需要升級一塊資源田或者建造一個新的資源田。<br>當建築完成的時候，你就會獲得獎勵點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_08_name;訓練同一兵種的20個步兵。
achievementQuests.achQuest_08_step_01_description;要獲得這個任務的獎勵點數，您需要在您的兵營中一次性訓練20個或者更多的步兵單位。<br>請注意，已經在訓練隊列中的步兵單位，將不會幫助你獲得這個任務的點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_09_name;訓練同一兵種的20個騎兵
achievementQuests.achQuest_09_step_01_description;要獲得這個任務的獎勵點數，您需要在您的馬廄中一次性訓練20個或者更多的騎兵單位。<br>請注意，已經在訓練隊列中的騎兵單位，將不會幫助你獲得這個任務的點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuest_10_name;舉行一個小型或大型派對
achievementQuests.achQuest_10_step_01_description;在你的村會堂中舉行一個小型或者大型派對。<br><br>不論你舉行何種派對，都可以獲得這個獎勵點數。已經進行中的派對不會幫助你獲得這個任務的點數。<br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuestReward_01_step_01_description;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>每天對之隨機出現的可以獲得的獎勵有：<br>每天對之隨機出現的可以獲得的獎勵有： +200 每種資源<br><br>+50 英雄經驗值<br><br>+50 文明點<br><br>+1000 隨機種類的資源<br><br>
achievementQuests.achQuestReward_01_step_01_reward01Description;+200 每種資源
achievementQuests.achQuestReward_01_step_01_reward02Description;+50 英雄經驗值
achievementQuests.achQuestReward_01_step_01_reward03Description;+50 文明點
achievementQuests.achQuestReward_01_step_01_reward04Description;+1000 隨機種類的資源
achievementQuests.achQuestReward_02_step_01_description;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>每天對之隨機出現的可以獲得的獎勵有：<br>每天對之隨機出現的可以獲得的獎勵有： +1 天PLUS帳號<br><br>+1 天+25%木材產量<br>+1天+25%磚塊產量<br><br>+1 天+25%鋼鐵產量<br><br>+1 天+25%穀物產量<br><br>
achievementQuests.achQuestReward_02_step_01_reward01Description;+1 天PLUS帳號
achievementQuests.achQuestReward_02_step_01_reward02Description;+1 天+25%木材產量
achievementQuests.achQuestReward_02_step_01_reward03Description;+1 天+25%磚塊產量
achievementQuests.achQuestReward_02_step_01_reward04Description;+1 天+25%鋼鐵產量
achievementQuests.achQuestReward_02_step_01_reward05Description;+1 天+25%穀物產量
achievementQuests.achQuestReward_03_step_01_description;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>每天對之隨機出現的可以獲得的獎勵有：<br>每天對之隨機出現的可以獲得的獎勵有： +5 藥劑<br><br>+5 法典<br><br>+5 小繃帶<br><br>+5 獸籠<br><br>+1 額外冒險<br><br>
achievementQuests.achQuestReward_03_step_01_reward01Description;+5 藥劑
achievementQuests.achQuestReward_03_step_01_reward02Description;+5 法典
achievementQuests.achQuestReward_03_step_01_reward03Description;+5 小繃帶
achievementQuests.achQuestReward_03_step_01_reward04Description;+5 獸籠
achievementQuests.achQuestReward_03_step_01_reward05Description;+1 額外冒險
achievementQuests.achQuestReward_04_step_01_description;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>每天對之隨機出現的可以獲得的獎勵有：<br>每天對之隨機出現的可以獲得的獎勵有： +400 文明點<br><br>+20000 隨機資源<br><br>+400 英雄經驗值<br><br>+4000 每種資源<br><br>
achievementQuests.achQuestReward_04_step_01_reward01Description;+400 文明點
achievementQuests.achQuestReward_04_step_01_reward02Description;+20000 隨機資源
achievementQuests.achQuestReward_04_step_01_reward03Description;+400 英雄經驗值
achievementQuests.achQuestReward_04_step_01_reward04Description;+4000 每種資源
achievementQuests.rewardMouseoverUncollectedPoints25;收集到25個點數時，你可以隨機獲得下面一個獎勵：<br><br>+200 每種資源<br>+50 英雄經驗值<br>+50 文明點<br>+1000 隨機種類的資源<br>
achievementQuests.rewardMouseoverUncollectedPoints50;收集到50個點數時，你可以隨機獲得下面一個獎勵：<br><br>+1 天PLUS帳號<br>+1 天+25%木材產量<br>+1 天+25%磚塊產量<br>+1 天+25%鋼鐵產量<br>+1 天+25%穀物產量<br>
achievementQuests.rewardMouseoverUncollectedPoints75;收集到75個點數時，你可以隨機獲得下面一個獎勵<br><br>+5 藥劑<br>+5 法典<br>+5 小繃帶<br>+5 獸籠<br>+1 額外冒險<br>
achievementQuests.rewardMouseoverUncollectedPoints100;你的獎勵： 收集到100個點數時，你可以隨機獲得下面一個獎勵<br><br>+400 文明點<br>+20000 隨機資源<br>+400 英雄經驗值<br>+4000 每種資源<br>
achievementQuests.rewardMouseoverCollectedPoints25;你今天已經收集了25點數!<br><br>您的獎勵: {{GRANTED_GIFT}}
achievementQuests.rewardMouseoverCollectedPoints50;你今天已經收集了50點數!<br><br>您的獎勵: {{GRANTED_GIFT}}
achievementQuests.rewardMouseoverCollectedPoints75;你今天已經收集了75點數!<br><br>您的獎勵: {{GRANTED_GIFT}}
achievementQuests.rewardMouseoverCollectedPoints100;你今天已經收集了100點數!<br><br>您的獎勵: {{GRANTED_GIFT}}
achievementQuests.points;點數
achievementQuests.achievementPoints;已獲得點數
achievementQuests.travianBirthday;Travian生日
achievementQuests.questList;每天活動免費生日禮物！
achievementQuests.taskDone;今天的任務已經完成
achievementQuests.taskWorking;任務尚未完成
achievementQuests.sidebarBoxButton;點擊獲得更多信息
achievementQuests.topBarButton;每日任務||收集每日獎勵
achievementQuests.sidebarBoxHeadline;獲得每日獎勵
achievementQuests.task;任務
achievementQuests.yourPoints;此任務可獲得 +{{POINTS_PER_TASK}} 點數。<br><br>這個任務的獎勵點數: + {{POINTS_ACHIEVED}} / {{MAXIMUM_POINTS_POSSIBLE_FOR_THIS_TASK}}
achievementQuests.congratulationsRewardHeader;恭喜! 你已經收集了足夠的點數來獲得一個生日禮物！
achievementQuests.yourReward;對於你今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}的點數,你可以獲得如下獎勵:
achievementQuests.collectGift;收集獎勵
achievementQuests.nextReset;(下次重置時間于{{TIME}}點。獎勵必須在這個時間之前領取!)
achievementQuests.achQuest_01_step_01_difficulty;難度: 簡單<br><br>先決條件: 可用冒險
achievementQuests.achQuest_02_step_01_difficulty;難度: 困難<br><br>先決條件: (許多)士兵
achievementQuests.achQuest_03_step_01_difficulty;難度: 挑戰<br><br>先決條件: (許多)士兵
achievementQuests.achQuest_04_step_01_difficulty;難度: 挑戰<br><br>先決條件: 完成10次冒險
achievementQuests.achQuest_05_step_01_difficulty;難度: 簡單<br><br>先決條件: 無
achievementQuests.achQuest_06_step_01_difficulty;難度: 簡單<br><br>先決條件: 資源
achievementQuests.achQuest_07_step_01_difficulty;難度: 簡單<br><br>先決條件: 資源
achievementQuests.achQuest_08_step_01_difficulty;難度: 挑戰<br><br>先決條件: 兵營
achievementQuests.achQuest_09_step_01_difficulty;難度: 困難<br><br>先決條件: 馬廄
achievementQuests.achQuest_10_step_01_difficulty;難度: 困難<br><br>先決條件: 3 城鎮廳
achievementQuests.achQuestReward_01_name;獲得25點數
achievementQuests.achQuestReward_02_name;獲得50點數
achievementQuests.achQuestReward_03_name;獲得75點數
achievementQuests.achQuestReward_04_name;獲得100點數
achievementQuests.achQuestReward_04_step_01_reward02Description44;+20000 隨機資源
achievementQuests.rewardMouseoverUncollectedPoints_44_25;收集到25個點數時，你將隨機獲得下面一個獎勵：<br><br>+200 每種資源<br>+50 英雄經驗值<br>+50 文明點<br>+1000 隨機種類的資源<br>
achievementQuests.rewardMouseoverUncollectedPoints_44_50;收集到50個點數時，你將隨機獲得下面一個獎勵：<br><br>+1 天PLUS帳號<br>+1 天+25%木材產量<br>+1 天+25%磚塊產量<br>+1 天+25%鋼鐵產量<br>+1 天+25%穀物產量<br>
achievementQuests.rewardMouseoverUncollectedPoints_44_75;收集到75個點數時，你將隨機獲得下面一個獎勵：<br><br>+5 藥劑<br>+5 法典<br>+5 小繃帶<br>+5 獸籠<br>+1 額外冒險<br>
achievementQuests.rewardMouseoverUncollectedPoints_44_100;收集到100個點數時，你將隨機獲得下面一個獎勵：<br><br>+400 文明點<br>+20000 隨機資源<br>+400 英雄經驗值<br>+4000 每種資源<br>
achievementQuests.achQuest_04_step_01_description_44;參與一個拍賣并對競拍的物品贏得兩次出價！<br>當你贏得拍賣的時候，你就會獲得點數。 <br><br>每天可以{{NUMBER_OF_TASKS_PER_DAY}}次獲得這個任務的點數。
achievementQuests.achQuestReward_01_step_01_description_44;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br>每天對之隨機出現的可以獲得的獎勵有： +200 每種資源<br><br>+50 英雄經驗值<br><br>+50 文明點<br><br>+1000 隨機種類的資源<br><br>
achievementQuests.achQuestReward_02_step_01_description_44;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br>每天對之隨機出現的可以獲得的獎勵有： +1 天PLUS帳號<br><br>+1 天+25%木材產量<br><br>+1天+25%磚塊產量<br><br>+1 天+25%鋼鐵產量<br><br>+1 天+25%穀物產量<br>
achievementQuests.achQuestReward_03_step_01_description_44;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br>每天對之隨機出現的可以獲得的獎勵有： +5 藥劑<br><br>+5 法典<br><br>+5 小繃帶<br><br>+5 獸籠<br><br>+1 額外冒險<br>
achievementQuests.achQuestReward_04_step_01_description_44;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br>+400文明點<br><br>+20.000隨機種類的資源<br><br>+400 英雄經驗值<br><br><br>+4000 每種資源<br>
achievementQuests.dailyQuests;每日任務
achievementQuests.questList44;獲得每日免費獎勵！
achievementQuests.congratulationsRewardHeader44;恭喜! 你已經收集了足夠的點數來獲得一個獎勵！
achievementQuests.yourReward44;爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數，你可以獲得如下獎勵:
achievementQuests.achQuestReward_04_step_01_description_44_fixed;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br>+400文明點<br><br>+20.000隨機種類的資源<br><br>+400英雄經驗<br><br>+4.000每種資源<br>
achievementQuests.achQuest_01_answer;389
achievementQuests.achQuest_02_answer;389
achievementQuests.achQuest_03_answer;389
achievementQuests.achQuest_04_answer;389
achievementQuests.achQuest_05_answer;389
achievementQuests.achQuest_06_answer;389
achievementQuests.achQuest_07_answer;389
achievementQuests.achQuest_08_answer;389
achievementQuests.achQuest_09_answer;389
achievementQuests.achQuest_10_answer;389
achievementQuests.achQuestReward_03_step_01_description_44_noheroitems;你現在可以爲了今天所獲得的{{AMOUNT_NEEDED_FOR_THIS_REWARD}}點數來獲得一個獎勵。<br>今天的每日獎勵將從下列選項中產生：<br><br>你會隨機得到如下的獎勵之一:<br> +200 文明點<br>+10000 隨機資源<br><br>+200 英雄經驗值<br><br>+2000 每種資源<br>
achievementQuests.rewardMouseoverUncollectedPoints_44_75_noheroitems;收集到75個點數時，你將隨機獲得下面一個獎勵：<br><br>+200 文明點<br>+10000 隨機資源<br>+200 英雄經驗值<br>+2000 每種資源<br>
achievementQuests.rewardMouseoverCollectedPoints75_noheroitems;你今天已經收集了75點數!<br><br>您的獎勵: {{GRANTED_GIFT}}
achievementQuests.achQuestReward_03_step_01_reward01Description_noheroitems;+200 文明點
achievementQuests.achQuestReward_03_step_01_reward02Description_noheroitems;+10000 隨機資源
achievementQuests.achQuestReward_03_step_01_reward03Description_noheroitems;+200 英雄經驗值
achievementQuests.achQuestReward_03_step_01_reward04Description_noheroitems;+2000 每種資源
achievementQuests.achQuest_11_name;為聯盟加成捐獻
achievementQuests.achQuest_11_step_01_description;為了支持你的聯盟，你可以為聯盟加成捐獻資源。當積累了足夠的資源并解鎖或改進某個加成后，整個聯盟都會因此而獲益。只要捐獻一次，就可以完成這個任務。
achievementQuests.achQuest_11_step_01_difficulty;難度: 挑戰<br><br>前提條件: 聯盟成員
achievementQuests.achQuest_11_step_01_difficulty2;難度: 簡單<br><br>前提條件: 聯盟成員
achievementQuests.achQuest_11_name_with_amount;為一個聯盟加成捐獻{{NUM_CONTRIBUTION_NEEDED}}資源。
achievementQuests.pointsGranted;此任務可獲得 +{{POINTS_PER_TASK}} 點數。<br><br>這個任務的獎勵點數: + {{POINTS_RATIO}}
achievementQuests.achQuest_11_contribution_info;一旦您擁有{{VILLAGES}}個村莊，<br><br>您需要為每點貢獻的金額增加至{{VALUE}}。
achievementQuests.rewardTooltipUncollected;如果在重置前收集{{NUMBER}}個點數，您就能領取下列獎勵：<br>{{GRANTED_GIFT}}
achievementQuests.rewardTooltipCollected;您收集了{{NUMBER}}個點數，已經領取了：<br>{{GRANTED_GIFT}}
achievementQuests.achQuest_01_step_01_difficulty_api;難度: 簡單
achievementQuests.achQuest_02_step_01_difficulty_api;難度: 困難
achievementQuests.achQuest_03_step_01_difficulty_api;難度: 挑戰
achievementQuests.achQuest_04_step_01_difficulty_api;難度: 挑戰
achievementQuests.achQuest_05_step_01_difficulty_api;難度: 簡單
achievementQuests.achQuest_06_step_01_difficulty_api;難度: 簡單
achievementQuests.achQuest_07_step_01_difficulty_api;難度: 簡單
achievementQuests.achQuest_08_step_01_difficulty_api;難度: 挑戰
